date,temp,wind,rainfall,humidity
19900101,28.4,17.96,20.4,32.18
19900102,35.5,2.23,0.0,22.84
19900103,17.4,9.06,0.0,29.38
19900104,28.4,1.57,0.0,26.3
19900105,28.3,0.3,0.0,26.75
19900106,35.4,14.04,0.0,20.79
19900107,11.4,5.67,0.0,32.96
19900108,29.5,18.36,0.0,21.85
19900109,12.8,19.24,0.0,29.55
19900110,32.2,9.27,0.0,22.74
19900111,27.9,16.92,0.0,23.38
19900112,13.8,10.96,27.7,44.16
19900113,25.3,13.89,57.6,52.14
19900114,39.8,19.28,52.4,42.59
19900115,28.1,4.26,26.9,39.23
19900116,31.2,19.72,0.0,20.88
19900117,19.8,5.1,33.5,45.14
19900118,253.0,13.45,0.0,25.18
19900119,38.2,6.63,41.2,40.34
19900120,32.8,6.67,0.0,23.55
19900121,223.0,12.85,0.0,26.69
19900122,30.8,1.26,0.0,24.96
19900123,16.4,5.77,0.0,30.5
19900124,11.9,8.75,0.0,31.73
19900125,15.2,6.55,0.0,31.28
19900126,21.1,8.68,0.0,27.89
19900127,31.5,18.69,0.0,21.5
19900128,17.9,8.0,0.0,29.84
19900129,24.3,1.6,7.0,31.84
19900130,27.7,4.43,0.0,26.37
19900131,14.5,1.92,34.7,48.92
19900201,18.0,6.13,0.0,31.18
19900202,17.0,1.15,0.0,33.01
19900203,21.3,5.09,0.0,30.12
19900204,26.2,18.34,0.0,24.96
19900205,18.8,7.83,0.0,30.07
19900206,19.9,9.05,0.0,29.81
19900207,12.7,19.98,12.8,36.63
19900208,28.6,7.3,35.9,42.81
19900209,32.5,13.89,0.0,22.94
19900210,27.9,12.15,0.0,24.94
19900211,21.1,6.23,0.0,29.28
19900212,15.7,3.61,0.0,32.83
19900213,10.6,14.04,0.0,32.08
19900214,13.3,17.43,0.0,30.11
19900215,278.0,13.08,51.1,49.43
19900216,32.2,19.47,0.0,21.47
19900217,27.5,7.75,0.0,26.46
19900218,37.4,15.82,0.0,19.85
19900219,23.8,12.46,0.0,27.32
